           Lore1	           Lore2	          Lore10	         Lore100	
        -1.00188	        -1.84129	         3.15102	        -1.08778	
      0.00455252	      -0.0733363	         1.48025	       0.0172312	
         5.54354	         11.9381	         1.02823	         1.36139	
         2.64589	        -12.5123	        -4.05843	       -0.795641	
         -2.2739	        -1.99193	        -1.09226	      -0.0326847	
       -0.142236	       -0.467179	        -54.7474	        -6.76323	
        -2.26178	        0.808684	       -0.570658	      -0.0770991	
         2.76413	         1.24644	       -0.656869	        -1.12454	
         3.19638	         1.70307	      -0.0206542	       -0.230984	
       -0.305146	         4.20207	         201.124	          20.371	
        0.607864	        0.648007	       -0.795115	       -0.974635	
      -0.0200431	        0.452834	         2.58149	        0.438992	
        0.025885	         3.17948	        0.331742	       -0.401369	
       -0.644829	       -0.240332	         1.18283	         10.2625	
         1.75181	      -0.0271649	        -4.53926	       -0.292999	
       -0.163324	        -0.45132	         1.85334	         4.11443	
        0.885604	        0.331768	        0.885954	         2.38723	
        -1.32411	       -0.908363	        0.920249	        0.316522	
         1.68364	          0.9632	        -6.89044	        -2.45305	
        -0.61309	        -1.15041	      -0.0308154	       -0.227213	
         1.22744	        0.834587	        -26.9593	        -5.30663	
         21.3976	         10.7738	         3.69413	          1.7115	
       -0.202831	      -0.0544673	        0.752903	         1.24501	
       -0.761252	       -0.355029	         1.00256	       -0.616629	
         3.56998	        0.531949	        0.614056	         -1.9742	
          14.551	         9.91939	         2.71418	        0.500465	
        0.745841	         2.20484	         1.72208	        0.716038	
        0.401919	         0.65628	      -0.0339665	         6.49676	
         3.75041	         2.00191	         2.65568	       -0.194896	
       -0.776907	       -0.834155	        0.146288	        -1.18863	
        0.757731	        0.357627	       -0.397821	        -1.95379	
        0.257845	      0.00754047	        0.809541	       -0.577678	
        -2.49432	       -0.261636	        -3.45488	        -2.11155	
         3.01256	        0.578743	        -2.19044	        0.146839	
         1.79805	        0.445557	         3.88721	         1.20267	
        0.231649	        -1.18472	        -0.48276	       -0.751019	
       0.0613624	        -2.29201	         -3.6985	       -0.657577	
       -0.414719	       -0.437359	        -2.08448	        0.133907	
        -17.0799	        -1.67954	        -2.78162	       -0.752784	
         10.4509	         6.43412	         10.6094	          1.1246	
        0.159336	       -0.124125	         5.21177	      -0.0722282	
       -0.997509	        0.145633	         1.66545	        0.409498	
        -1.72299	        -2.01902	       -0.121257	        -8.45907	
         -7.8572	       -0.747878	        -0.73257	      -0.0898422	
       -0.470513	       -0.466968	         10.2158	        -1.93723	
        -3.91807	        -2.48436	        -1.26731	      0.00648318	
         1.39948	         17.2575	         3.16809	       0.0758613	
       -0.128144	         1.29933	        -1.15183	        0.547869	
          1.5365	       -0.909235	       -0.940282	        -10.3517	
         6.04194	         3.11849	        0.246126	         2.08259	
         23.2493	         11.3397	         4.81458	        0.951806	
       0.0680105	       -0.879756	        -0.40571	         1.01419	
         72.3027	         35.0447	         8.60504	         9.95238	
        -0.24475	         4.44739	         1.66144	        -8.10624	
        -1.25091	         3.93462	        -3.79719	        -0.51201	
         1.23487	       -0.139503	        0.120399	        0.468337	
        -2.62675	          4.8499	       -0.145288	       -0.263557	
        0.268641	        0.778631	        0.957955	        -0.31348	
       -0.785605	         31.5452	         4.79645	         9.80298	
       -0.387746	      -0.0724242	        0.204492	         27.9259	
         -5.5334	        -2.60434	        0.909025	        0.641409	
        0.868852	        0.754206	        0.421908	         1.26466	
      -0.0604929	         -13.243	        0.613724	        -1.09195	
        0.742649	        0.539853	          1.3242	       -0.420475	
        0.542857	         1.75952	         1.15922	         1.17925	
        0.254036	       0.0993834	        -3.43709	        -21.2606	
        -1.02144	        -0.44365	       -0.988074	        0.289196	
         3.00418	       -0.344434	      -0.0211702	       0.0953669	
        -1.21736	       -0.537609	        -1.41127	         4.39271	
        -1.25138	         0.31593	        0.373876	        0.779192	
        0.652971	        0.536751	         3.10386	        0.894047	
        0.179037	       0.0894409	        0.192062	        0.482735	
        -1.38623	         14.8413	         3.08178	       -0.284304	
        0.238846	         2.97878	         1.55609	         20.6761	
        0.135283	         0.24654	       -0.876951	        0.809294	
        0.594168	        0.665241	        0.384336	        -4.19857	
       0.0829572	       0.0363313	         -19.042	        -2.26235	
       -0.678881	         1.67066	        0.356276	          3.0213	
         1.25111	         3.55678	         2.01213	        -1.18542	
         21.7997	        -23.2008	        -5.76873	        -1.91156	
       -0.048367	        -1.55116	        0.782587	         7.94045	
         2.21609	         1.69391	        -1.07514	         20.5419	
         1.67116	        0.847835	        0.311757	        0.250382	
        0.345483	        0.652224	       -0.129544	      -0.0128394	
        0.267857	       0.0452059	       0.0149505	        0.913455	
       -0.733819	         0.71612	       -0.412393	         1.37221	
       -0.488344	       0.0603502	         1.46833	       -0.420851	
         4.13471	         1.36903	       -0.927566	      -0.0963173	
        0.374449	         5.75488	        0.633698	        -0.94465	
       -0.306423	         2.45838	       -0.440748	        0.537977	
         3.80148	          2.3489	          1.0444	        -0.15694	
         1.31474	        0.662441	        0.143804	       -0.519871	
        -2.11292	         2.77568	        0.615983	        -3.39286	
      -0.0508564	       -0.605955	         -18.396	        -10.1155	
         2.74348	         1.47088	         1.12838	       -0.812619	
         0.35805	       -0.826933	        0.930374	        0.735987	
        0.624137	        0.286805	        0.625001	       -0.236865	
        0.641141	        0.392177	       -0.794489	         1.50871	
       -0.845298	       -0.890878	        -2.29022	         1.39339	
        -0.39851	        0.341485	       -0.194842	         9.85468	
         1.68437	       -0.262698	       0.0919757	         0.66037	
        0.229501	        0.226637	         -1.8837	         7.45235	
        0.455422	        0.841802	       0.0275183	      0.00299269	
        0.504367	        -1.11167	       -0.262534	       -0.462263	
        0.331613	       -0.294449	        0.487214	        0.576241	
        0.293962	         1.37778	        0.221366	         1.68652	
        -9.76646	        -4.94698	       -0.637224	        -1.34938	
          1.4728	         1.57319	         1.98742	         3.46485	
        -1.50512	       -0.673293	       0.0419629	       -0.639415	
        0.347216	       0.0144409	       -0.316751	         6.17312	
        0.529182	        0.531494	         1.29892	         1.05051	
        -21.6638	         -11.606	        -2.70597	       -0.500896	
         2.24955	        -2.44932	         3.00686	       -0.303322	
       -0.401967	        -0.53371	         0.19618	       -0.598851	
        -2.85768	        -2.37309	        -1.86297	        0.585738	
         0.60159	         1.05491	         0.89413	         2.76545	
        0.778177	        0.224146	       -0.137178	       -0.217518	
      -0.0511816	         1.06632	        0.521848	       -0.604069	
        -1.16782	        -5.38615	        -3.22464	        0.533252	
        -1.32157	        -1.87765	         1.03956	        -3.19754	
        0.702261	        0.375363	      -0.0934132	        0.310766	
        0.461133	        0.943227	       -0.206706	        -0.49275	
        -3.62525	         -1.0914	         3.06273	        0.374353	
         1.33193	        0.491808	      0.00246309	        -0.43171	
       -0.143583	        -1.28308	        -1.05674	        0.567454	
         1.50101	       -0.253748	         0.34024	        -7.85302	
         3.46127	        0.468867	          1.7853	       0.0923923	
         1.22265	        0.209964	        -1.48532	       -0.638295	
       -0.217652	        0.837519	         2.01018	     -0.00549675	
       -0.240773	        0.496687	        0.238628	         11.3313	
        -1.51677	        0.383182	       -0.343376	         1.02768	
        -1.03529	       -0.681676	        -9.73307	        -4.04838	
        0.455272	       -0.509283	       -0.987317	        0.315062	
        0.743177	         0.54049	        0.888775	        -1.96868	
       -0.449717	        0.295668	        0.449469	        -1.45351	
         15.1441	         4.80727	         1.62057	         1.03691	
        -2.05592	        -0.41345	        0.407342	         1.53885	
        0.375955	        0.258527	         1.42986	       -0.348579	
        -3.22138	        -2.43555	       -0.405779	         1.87647	
       -0.334358	       -0.618937	        -2.41281	       -0.391164	
         2.53504	        0.349715	       -0.383505	       -0.563206	
         4.64337	         2.30023	         1.10679	         4.45218	
        0.028263	        -8.51339	        -2.89287	        0.231792	
           -1.29	       -0.507211	        -2.91877	        -2.03852	
          6.7587	         1.59034	        0.645195	       -0.605956	
         1.26185	        0.599559	        -1.24148	      -0.0214171	
        0.198035	        0.437424	         3.30086	       -0.279647	
       -0.400156	       -0.053593	        0.655983	         1.38016	
          -4.647	          11.504	         3.02236	       -0.544821	
         2.55601	         1.00909	         1.12411	       -0.243491	
         2.22522	          1.2941	       -0.266476	      -0.0942299	
         2.15996	        0.283513	        -279.507	        -26.9347	
       -0.691328	        -1.82687	        -1.08593	        -1.27433	
        -1.93879	       -0.173666	        0.845152	        0.334369	
       -0.378053	        -1.30274	        0.295777	        0.902694	
         1.67313	          1.7971	         1.77055	       -0.243016	
       -0.921366	       -0.803865	        -1.86649	         1.43692	
        0.420945	       -0.529194	         2.50398	        -11.2523	
         1.17246	         1.09597	        -1.54173	         -0.7448	
         -8.9756	        -5.16154	        -2.47466	        0.325634	
        -0.92575	       -0.390963	         0.19218	       -0.789028	
       -0.754198	        -27.7558	        -5.76657	        -3.52905	
         12.2534	          6.8525	         1.15353	        -1.23288	
        -1.54513	       -0.475081	        -1.76285	        -1.12676	
         5.14875	         2.68627	         7.49547	         4.76498	
        0.456354	        0.835982	          1.6366	        0.842678	
        0.922326	       -0.101861	       -0.114355	         133.677	
        0.358688	       -0.867814	       -0.476821	       -0.548117	
         2.96326	         6.05339	        0.420611	         -6.6351	
         2.25309	        0.502575	         2.45613	        0.537791	
         1.16599	        0.633899	       -0.505186	        0.789246	
       -0.115439	        -4.84187	        -4.80356	        -1.87712	
         0.26133	       -0.496702	       -0.187349	        0.320469	
        0.451065	        0.306523	        0.592045	     -0.00764747	
       -0.275294	         1.46186	        -7.96424	         1.92249	
       -0.463824	         1.83186	          1.5413	        0.265617	
        -1.10163	        -5.00992	         3.37773	        -25.6496	
         1.05142	         -0.2645	       -0.238417	        0.296925	
        0.845886	         1.22233	         2.47505	         91.0868	
          3.6234	        0.544443	         0.86651	       -0.667251	
         2.43347	         1.17594	       -0.770726	       -0.221881	
        -0.31523	        -1.86397	         -2.6327	        0.606048	
          1.1677	        0.182624	       -0.510867	         0.55492	
        0.954154	        0.793937	       -0.107612	       -0.211925	
      -0.0621536	       0.0425459	        -0.24106	         3.54897	
        0.909391	         2.61768	         1.25838	       -0.704452	
       -0.157658	       -0.387112	         7.26704	         1.15504	
         1.01631	         1.05084	         2.94752	         1.67922	
         4.73785	         0.32332	        -5.34441	       -0.814609	
       0.0161073	       -0.118835	        -1.54473	         3.73643	
      -0.0828618	        0.823797	        -4.05036	       -0.606992	
       -0.421878	      -0.0218428	        0.300626	         10.6348	
         15.5001	         3.36656	        -2.71465	       -0.149626	
        -3.46854	       -0.974724	         3.24626	       -0.545449	
        -2.02443	        -1.88436	         -0.5303	         1.38388	
         1.20354	         2.05102	       -0.696626	         1.44978	
      -0.0433483	         2.75833	        0.546361	         3.18218	
       -0.884251	       0.0395039	         3.25736	         0.98563	
         3.77849	         1.44926	        0.199454	       -0.554418	
       -0.576423	        0.910233	        -1.81664	        -1.91487	
        -2.01933	        -2.05809	        0.113425	         2.91009	
       -0.325682	         1.15044	        0.306577	        0.664079	
         8.12675	         3.04194	        0.894555	        -4.27261	
          0.4779	        0.478169	        0.806873	        0.712326	
        0.409554	        -5.88298	        -1.49956	         1.02731	
        0.721908	         1.39584	        0.363378	       -0.324604	
       -0.192668	        0.139661	         1.52085	       -0.702591	
         2.99257	          3.7117	          3.9404	        -3.45855	
         0.22616	       -0.990933	        -1.17117	       -0.763217	
        -1.50842	       -0.929608	       0.0764566	        -1.27164	
       -0.404599	        0.101372	        -44.1848	        -4.90807	
         -2.0064	        -1.08988	       0.0362551	         -1.2708	
      -0.0113238	        0.168501	        -1.37139	         3.17028	
       -0.180617	         4.94107	         10.3572	         2.18177	
        0.892542	         1.90969	         1.56511	       -0.498629	
      -0.0188889	       -0.325623	       -0.356532	       -0.650672	
        0.799734	         0.67856	       -0.546168	        -1.44824	
         5.88026	         2.09103	         1.09818	        0.492074	
       -0.693205	        -3.46374	         1.99691	        -10.2292	
        -1.43172	        0.174861	         1.45233	         11.8858	
       -0.273823	        0.618033	          1.7479	        0.175436	
       -0.163967	       -0.460159	         1.51188	        0.235659	
        -5.28445	        -2.57067	        -416.172	        -40.3611	
       -0.338694	       -0.358169	      -0.0130184	         1.00331	
         10.4086	          5.1064	        -3.97341	       -0.272312	
         1.81087	        0.727024	         1.40494	        -14.8621	
        0.439538	         22.4682	         7.25944	         3.02573	
        0.422155	       0.0758514	       -0.355594	       -0.870324	
        -48.3684	        -23.8694	        -4.25451	       -0.331186	
      -0.0957673	      -0.0935447	         20.7781	        0.750461	
         1.86005	        0.709481	       -0.294786	        0.876939	
         2.53044	        -17.2044	        -10.1818	           -1.55	
       -0.307152	       0.0310887	        -1.00904	       0.0277922	
        -2.27321	        -1.47383	         1.09068	       0.0951133	
        0.268428	      -0.0279735	        -1.95485	         10.2124	
        0.350363	         2.82168	        0.338897	        0.289486	
      -0.0642926	        0.868232	      -0.0607507	       -0.674643	
         -1.0094	       -0.330722	         -3.0386	        -0.75929	
         12.1325	         5.69459	         1.57178	         2.07524	
       -0.180355	       -0.289912	        -1.07342	        -5.16619	
       -0.798633	       -0.255629	        0.309032	         2.76898	
       -0.267295	      -0.0970695	        -1.14606	         1.57898	
        0.720478	        -2.82321	        -1.24248	      -0.0432924	
          6.7281	         3.31354	        0.943841	         133.867	
        0.461961	         3.46628	       -0.378704	        -58.1842	
          1.9078	         1.04856	        0.718167	         13.2093	
        0.549511	        0.179226	        0.096047	       -0.317878	
        -7.73075	        -4.40068	         -1.3914	        -5.37744	
        -0.48699	       -0.329619	         3.07685	        0.724273	
        0.287223	      0.00964772	         -1.0538	         18.0086	
        -2.16757	        -1.36426	        -1.17135	         1.22591	
        -0.60557	         38.0034	         7.56368	        -6.98947	
         -4.9919	        -6.13502	         -1.7741	       -0.521982	
       -0.422844	         2.79072	        0.271228	        -2.42336	
        0.938185	        0.795846	        -0.25405	        -1.60464	
       -0.880849	        -1.08405	         2.29471	       -0.837982	
        -11.6781	        -5.75681	        -2.78536	        -3.07971	
        0.281813	        0.394104	        0.779259	       -0.134227	
         2.43546	        0.821562	       -0.833441	        -3.40953	
        -2.51719	        -2.03372	        -8.09979	        -2.91313	
         1.88325	        0.679388	       -0.274737	        -3.72308	
        -1.85873	        -1.30336	       -0.390953	         1.70341	
        -1.17023	         -0.5276	         -2.4821	        -1.30107	
          4.2036	         1.93314	        0.233362	        0.411015	
         2.80788	         1.73107	         1.43919	       -0.321762	
        -44.6322	        -22.0195	        -2.43874	        0.633567	
        0.732979	         1.23649	         2.10026	         4.87855	
       -0.178256	       -0.281955	       -0.828403	        -1.07524	
       -0.367523	        0.174189	       -0.266213	        0.281857	
       -0.794546	       0.0926077	       -0.575866	         1.90981	
       -0.550282	        0.207865	         6.79774	       0.0323711	
       -0.180825	        0.231893	         1.20379	      -0.0162202	
      -0.0384318	        0.691845	         2.71521	        0.190381	
         1.78411	         1.07502	        -10.1722	       -0.682187	
        -7.37187	        -2.43869	         2.33622	         -1.6464	
        0.837018	        0.382572	        0.080767	         1.63807	
         -1.7205	        -1.19992	       -0.155322	        -1.52731	
        -0.45643	        0.511153	         3.73283	       -0.118631	
       0.0776721	        0.759561	        0.315555	       -0.924524	
        -0.41748	         1.29727	       -0.447129	         5.88687	
         5.09767	         2.96303	        0.537068	        0.538617	
         1.37589	      0.00145685	       -0.388473	         2.05614	
       -0.126488	        0.455215	        0.236894	         1.62878	
         -3.9261	        -1.44476	       -0.109924	        0.355703	
         1.60529	        0.952214	        0.605516	       0.0482705	
        -0.51717	        0.255486	       -0.312379	       -0.864984	
         1.03038	         0.99134	       -0.676767	       0.0895416	
        -1.03394	       -0.762043	        0.957826	         48.1875	
         3.69906	        0.129423	         1.30567	       -0.229586	
        -7.84643	        -3.39206	        -5.83372	         1.41594	
        -3.48499	        -1.51308	        0.472879	        -1.01934	
         4.22604	         2.09658	        0.139271	         1.17235	
        0.713307	         1.11941	         1.22173	        0.365805	
       -0.374338	       -0.315118	      -0.0395629	        -2.71144	
        -3.16533	        -1.68491	        -1.27991	        0.384553	
         3.35142	        0.619639	       -0.397354	        -3.71714	
      -0.0316862	        0.299969	         4.54397	        -2.37373	
       -0.898091	        0.348977	        -0.47265	       -0.630541	
       0.0556716	         1.75249	         9.96701	         2.51032	
          5.6478	         3.26512	        0.467304	       0.0729785	
           1.758	         1.17481	         21.3169	         11.9523	
        0.626616	        0.325961	        -14.6348	        -1.44723	
         0.68385	        0.370001	       0.0104861	       -0.504368	
           1.694	        -9.33255	        -2.43727	        -5.60632	
        0.396412	      -0.0175033	       -0.605392	         1.62707	
         1.78714	        0.755533	        -1.06311	        -12.4043	
       -0.300943	        0.620302	       0.0080565	       -0.894182	
        -7.01215	        -3.72829	        -2.52237	       -0.658303	
       0.0777747	       -0.464616	       -0.116705	         9.64848	
        0.339083	        0.456619	        0.495994	         1.39215	
       -0.847444	         -3.7927	        -1.82642	       -0.760582	
        0.480739	        0.790238	        0.513465	        0.276841	
       0.0350964	       -0.458656	        -1.69501	       -0.222059	
          1.0475	         0.80962	        0.204991	      -0.0490302	
        0.836251	        0.479702	         2.51711	        0.915971	
         1.16901	        0.607509	        -1.35365	         5.08801	
         1.05664	        0.713057	         1.07645	         1.20246	
        0.247306	        -1.27781	       -0.462187	         1.26989	
        -6.86462	        -3.83607	         3.29759	        -17.8984	
        0.870717	        0.340592	         1.00182	         1.26928	
        0.525953	       -0.778611	        -5.93781	      0.00063131	
        -3.58522	        -6.18071	         2.97132	      -0.0607489	
        0.560715	        0.336654	        0.213085	        -2.00814	
        -2.19291	        0.670031	        0.607636	       -0.527439	
       -0.152999	         3.63334	         1.04096	         1.33899	
       -0.274036	         1.84253	        0.347298	       -0.407502	
         3.06352	         1.59249	         0.19734	        0.277308	
        0.491794	        -2.57399	        0.803064	       -0.351551	
        -1.45808	         1.30111	         1.53424	        -3.27849	
         1.84705	        0.222574	        -8.54533	       -0.918124	
       -0.704775	       -0.973979	         2.05155	        0.358045	
         1.78263	        0.110781	        -1.56902	       -0.480839	
         2.73748	         1.22894	        -1.71833	        0.749574	
       -0.401346	        0.139926	        -3.79724	       -0.607498	
        -1.37887	       -0.758142	       -0.849006	        -26.2898	
         1.03101	        -9.82121	        -4.45144	       -0.603975	
        -1.11258	      -0.0487246	       0.0100376	        0.220474	
        -2.20877	        -1.35721	         -1.8327	        -3.19746	
        0.161718	         -11.027	        -2.26642	         0.18586	
        0.265523	         0.17888	         1.51173	       -0.958805	
        0.897969	        0.872177	         1.09959	        0.886743	
      -0.0751185	        0.307331	        0.190945	        0.753342	
         1.66484	       0.0666829	        -1.00315	        -1.44725	
        0.162148	        0.776147	          2.2553	        -1.63735	
         4.94584	         2.27809	       -0.226354	        -1.58675	
        -63.1667	        -31.3468	         -5.6094	     -0.00995493	
       -0.692139	       -0.169381	       -0.770198	       -0.793643	
        -1.40562	       -0.128921	      -0.0541403	         3.19911	
         5.12449	         2.48514	       -0.269868	        0.105675	
        -2.59048	        -1.36197	      -0.0150087	        0.929927	
        0.800353	         0.58166	        0.495356	         14.8045	
         3.73856	          1.4787	       -0.405974	       -0.796552	
        0.087434	         1.13697	         3.71439	        0.261172	
        -1.56525	         -1.5055	       -0.304024	        0.658496	
         1.00259	        0.250655	        0.548886	       -0.385124	
        -3.09783	         -1.6895	       -0.705257	       -0.769988	
        -2.40834	         1.83874	         7.53623	        0.758723	
         1.13873	       0.0551722	        -2.33729	      -0.0450063	
        -3.04189	        -1.80369	       -0.160964	         1.32712	
         1.09167	        0.436638	      -0.0225314	        0.548737	
        -129.103	        -64.1655	          -13.59	        -1.41653	
          2.1059	        0.699916	        -4.20702	         1.25864	
        -1.04865	        -2.78923	       -0.210108	       -0.287118	
         5.83813	         5.25882	         1.70101	        0.272876	
       -0.405308	        -1.77118	        -2.03191	       -0.849257	
         3.01145	           1.843	        0.244519	        -12.2058	
        0.112441	       -0.997242	       -0.606546	        0.292867	
       -0.449765	        -6.80929	        -2.80455	       -0.676542	
         23.0149	         11.9333	         2.45622	        0.681408	
      -0.0952511	        -0.36527	          1.9823	        0.561473	
         1.25299	        -2.74602	        -1.58907	         4.93401	
        -2.80664	        -1.51745	       -0.759255	       -0.203183	
        -19.3687	        -8.95362	        -2.12138	        0.617947	
        -2.45258	       -0.867297	        -4.33531	         -0.3819	
        -4.21742	        -2.00189	        0.329088	      -0.0631066	
        -5.10801	        -2.04638	         0.91847	         1.08077	
        -1.73081	        -4.47086	        -1.86714	        -1.33867	
       -0.347608	        0.655881	        -3.93001	          3.0799	
         7.85984	         3.95131	         3.21124	       -0.781753	
        -3.49169	        -2.16463	        -1.35559	        0.908047	
        0.579196	       0.0815139	       -0.217051	       -0.401323	
       -0.532514	        -0.15246	         2.21492	       -0.205171	
       -0.890381	      -0.0407954	        0.506575	        0.510526	
         15.9319	          8.7708	       0.0152645	       -0.214513	
          1.6926	        0.661508	         3.63941	         2.15953	
        0.313547	         4.82576	        -1.24067	        -24.7155	
        -30.0048	        -9.62615	        -1.93877	         7.65239	
          4.6152	         2.52388	         2.74231	         0.54053	
         3.30814	        0.822876	        -1.10586	      0.00538987	
       -0.707114	        -1.04052	       -0.187378	           6.152	
       -0.454564	      -0.0914698	        -1.03014	         14.5068	
         4.04246	        0.514784	        0.592321	         65.3826	
       -0.560177	       -0.814566	           -1.42	        -5.29594	
       -0.904252	         0.51357	         2.27259	      0.00848937	
        -1.64565	       -0.751973	        -1.01664	       -0.768992	
       -0.854304	        -1.27811	        -1.31008	        -1.45503	
         4.55322	         2.60031	        0.301434	        -3.04005	
        -23.5692	        -12.2453	        -3.08166	       -0.217456	
        0.436248	        -1.09398	      -0.0078733	        -1.76766	
        0.492483	         1.66391	        -1.19082	         1.34201	
         2.43652	         1.25042	       -0.842035	         1.49839	
        0.559293	       0.0792006	      -0.0896995	         3.00398	
       -0.249568	        -14.4392	        -1.65381	       -0.821198	
        0.936276	          1.4845	        0.400206	       0.0489668	
        -18.8203	        -9.36411	        -1.37547	        -8.14493	
       -0.509248	       -0.520707	        0.246237	         1.07139	
         6.11657	         3.58152	        0.777478	         1.38749	
       -0.327674	       -0.684128	        0.364646	         1.18296	
     -0.00728082	       -0.205042	       -0.402855	       -0.157167	
        0.466606	        -1.25594	        0.184179	      -0.0969219	
        0.381819	       -0.195803	         1.89661	         7.63898	
        -3.88368	        -3.26621	          4.6546	         1.26131	
        -4.32374	        -3.21438	        -2.00185	        0.152868	
        -1.83701	        -3.56611	       -0.912428	        0.284465	
        0.533727	        0.310607	        0.347916	          1.1905	
         1.35903	        -7.63177	        -18.7116	        0.473152	
       -0.601034	         4.99088	        0.504618	        0.149764	
        0.141231	        -1.36575	        -1.62983	       -0.271458	
       0.0462798	        -1.64134	         113.431	          8.4738	
        0.773214	        0.126251	       -0.262198	         1.55826	
       -0.735949	       0.0718557	         1.93011	        -2.48688	
        -1.07862	        -0.64422	         1.46811	           2.012	
        -1.02823	       -0.374982	        -10.0973	        -1.79063	
         1.96881	         1.76874	         1.50403	       -0.677316	
         2.62401	         1.37597	        -2.21016	        0.189722	
        0.242147	       0.0712311	        -1.75601	        -2.10217	
       -0.876458	         1.26195	        0.614362	        -1.02337	
        -11.5855	        -5.82307	       -0.633977	        0.489171	
          2.2095	         1.16315	         1.03059	       -0.212965	
        0.831221	        -2.95667	        -5.45071	        -1.87982	
        0.916641	          2.0275	         1.16344	      -0.0444538	
       -0.701665	       -0.639966	        0.801185	        0.116736	
        0.681012	        0.737666	        0.375557	         -1.4433	
        -7.15024	        -3.95353	       -0.541799	        -1.17117	
         2.73026	         1.98612	         20.5166	        0.492119	
       -0.564266	        0.742066	        0.104017	       -0.778965	
        0.366907	        0.825856	       -0.306967	         2.89666	
        0.131885	        0.551836	       -0.400849	         1.77859	
       0.0603553	         3.82771	        0.835592	        0.108355	
       -0.453992	       0.0962108	        0.509742	        0.798109	
         1.35754	         1.12276	        -1.19583	        -1.08711	
     -0.00323158	         2.81519	       -0.429917	        0.657125	
         0.53903	       -0.307162	        0.417291	        0.543411	
        -7.16479	        -3.20831	         1.13472	        -6.41226	
        -7.22977	        -3.72772	        -1.62076	        0.368156	
         4.76343	         1.20929	       -0.661342	        -1.03419	
        -3.29536	        -1.74679	       -0.469849	       0.0913802	
       -0.963084	          1.3607	         1.30289	       -0.181758	
       -0.149383	       -0.314533	        -1.15907	        -1.31371	
        -1.82429	       -0.456013	        0.927528	       -0.823712	
          1.5675	        0.120056	       -0.640469	         132.524	
       -0.564455	        -1.34037	       -0.145247	        0.140968	
       -0.468372	       -0.167592	        -5.80519	         1.60338	
        -1.31515	       -0.800609	        -1.13738	        -0.92716	
       -0.199358	      -0.0747038	         2.36466	        -1.96871	
        -1.55331	         1.52738	        -8.81483	       -0.482584	
         5.90851	         2.71661	        0.421045	       -0.402394	
