           unif1	           unif2	          unif10	         unif100	
        0.567872	        0.731929	        0.541503	        0.516943	
        0.533427	        0.664672	        0.608258	        0.616016	
         0.91523	        0.872381	        0.451437	        0.494152	
       0.0147275	        0.338713	        0.329388	        0.472002	
         0.59542	         0.68674	          0.4245	         0.49102	
        0.979481	        0.763903	         0.63992	        0.523123	
        0.190331	        0.593412	        0.510079	        0.544372	
        0.203101	        0.414274	         0.46063	        0.475958	
        0.981869	        0.799683	        0.598015	        0.521131	
        0.258653	        0.605454	        0.483128	         0.48521	
        0.385243	        0.677188	        0.544079	         0.47228	
         0.96251	        0.862425	        0.599246	        0.488894	
       0.0966419	          0.4937	        0.437949	        0.501519	
        0.967746	        0.571646	        0.390555	        0.482998	
        0.101382	        0.248112	         0.44039	        0.474755	
        0.875996	        0.720716	        0.454843	        0.504394	
        0.223661	        0.481535	        0.465312	        0.445674	
         0.92348	        0.655755	        0.504729	        0.498025	
        0.717803	        0.602974	        0.605128	        0.511331	
        0.421679	        0.426924	        0.440326	        0.492557	
        0.682023	         0.80027	        0.429158	         0.48864	
        0.815553	        0.457248	        0.439525	        0.440633	
         0.64986	        0.434977	        0.509289	        0.457033	
        0.327135	        0.250478	        0.484208	        0.536941	
       0.0805239	         0.47092	        0.518734	        0.506638	
        0.999498	         0.77648	        0.534762	        0.504857	
         0.80965	        0.613061	        0.493197	        0.555904	
        0.970461	        0.841079	        0.566241	        0.479578	
        0.318114	        0.622904	        0.586873	        0.496688	
        0.601918	        0.511721	        0.527238	        0.530305	
        0.964937	         0.52972	         0.48256	        0.558917	
        0.298444	        0.381104	        0.553666	        0.499038	
        0.573875	        0.565209	        0.467665	        0.455998	
        0.291509	        0.361541	         0.46186	        0.529808	
        0.753454	        0.634362	        0.597477	        0.542845	
        0.328366	        0.502944	        0.441894	        0.430029	
        0.470582	        0.350349	        0.500903	         0.51176	
        0.728779	        0.798096	        0.577781	        0.464696	
        0.159208	        0.194799	        0.342091	         0.49015	
        0.534024	        0.534656	         0.67632	        0.548834	
        0.917609	        0.623414	        0.593548	        0.501411	
        0.109123	        0.227671	        0.572903	        0.528282	
        0.853518	        0.820726	        0.591036	        0.483392	
        0.130147	        0.171452	        0.355644	         0.48635	
        0.507853	        0.330348	        0.507981	        0.509957	
        0.652975	         0.55155	        0.333142	        0.474804	
        0.346156	        0.428073	        0.327156	        0.523784	
       0.0856563	         0.52225	        0.576894	        0.480193	
        0.519326	        0.624098	        0.415331	        0.516831	
        0.199141	        0.371443	        0.399055	        0.489496	
        0.125519	        0.553441	        0.464913	        0.499074	
        0.519463	        0.616475	        0.445328	        0.480935	
        0.908488	        0.595697	         0.53079	        0.515974	
       0.0806924	         0.26932	        0.551923	        0.510424	
        0.478898	        0.518846	        0.490815	        0.531239	
        0.648245	        0.624641	        0.486412	        0.538283	
        0.626682	        0.404233	         0.39125	        0.519238	
        0.595523	        0.382687	        0.585107	        0.510513	
        0.406441	        0.517925	        0.585184	         0.49372	
        0.630651	        0.776194	        0.491454	        0.524997	
        0.184074	        0.213726	        0.372338	        0.508178	
       0.0458467	        0.375517	        0.467032	        0.496171	
        0.750641	        0.708389	         0.72161	        0.528995	
        0.234822	        0.560291	        0.513917	        0.485264	
        0.762104	        0.388266	        0.494304	        0.490286	
        0.463666	        0.385988	        0.313154	         0.48574	
        0.476251	        0.658557	        0.578071	        0.441765	
        0.275098	        0.361314	        0.401477	        0.476815	
       0.0642175	       0.0655346	         0.35016	        0.463534	
           0.745	        0.659633	        0.510532	        0.476659	
        0.916384	        0.658613	        0.587392	        0.496383	
        0.030055	        0.084139	         0.37281	        0.490398	
        0.317643	        0.532685	        0.614863	        0.532678	
        0.498124	        0.426789	        0.356536	        0.445832	
       0.0557605	         0.46398	        0.498546	        0.478503	
        0.459207	        0.718672	        0.382088	        0.485507	
        0.812462	        0.871088	        0.564554	        0.530522	
       0.0151164	         0.26372	        0.389979	        0.475664	
        0.702091	        0.826746	        0.652235	        0.523102	
        0.852965	        0.614598	        0.493723	        0.518198	
        0.597745	         0.31487	        0.347296	        0.479596	
        0.477852	        0.326117	         0.44741	        0.522318	
        0.195503	        0.373088	        0.475777	        0.480761	
        0.734033	        0.702349	         0.53199	        0.507052	
        0.551739	        0.473541	        0.592354	        0.500422	
         0.91662	        0.631839	        0.539262	         0.50774	
        0.461649	        0.525485	        0.499048	        0.491725	
        0.313897	        0.503101	        0.372611	        0.550022	
         0.20123	        0.386055	        0.408583	        0.541528	
        0.190443	        0.197822	        0.411236	        0.499208	
        0.408347	        0.617327	        0.454161	        0.526902	
        0.812183	        0.798452	        0.485702	        0.462284	
        0.175215	         0.28092	        0.382501	        0.497155	
       0.0228827	       0.0366351	        0.268122	        0.486939	
        0.423611	         0.31726	        0.359626	        0.474597	
        0.467548	        0.339805	        0.382059	        0.448824	
        0.924801	        0.486709	        0.415352	        0.498355	
        0.106782	       0.0546666	        0.253885	        0.490243	
        0.923968	        0.527795	        0.461562	        0.522945	
        0.385647	        0.310245	        0.499463	        0.502182	
        0.803172	        0.835555	        0.501916	        0.523093	
        0.718453	        0.561473	        0.398213	        0.505964	
        0.238837	        0.447847	        0.510526	        0.466156	
        0.543168	         0.53087	        0.415584	        0.533578	
        0.348902	        0.388701	        0.511806	        0.485568	
        0.919932	        0.724525	        0.681989	        0.500401	
        0.656161	        0.736046	        0.536777	        0.496959	
        0.638754	        0.533398	        0.593353	        0.483769	
        0.818814	        0.741442	        0.339987	        0.443039	
       0.0720106	        0.242815	        0.399723	        0.470236	
       0.0967835	        0.268751	        0.437298	        0.470872	
        0.174857	        0.287021	        0.439029	        0.519163	
        0.932765	        0.482089	        0.494532	        0.472005	
        0.357025	        0.655347	        0.594597	        0.472668	
        0.874417	        0.785388	        0.536144	        0.486828	
        0.573505	        0.536639	        0.549322	        0.450531	
        0.275661	        0.626941	        0.627212	        0.520833	
        0.676186	        0.466144	        0.531253	        0.465064	
        0.422369	        0.529399	         0.50124	        0.453632	
        0.459158	        0.629902	        0.589912	        0.469318	
        0.799028	        0.665421	         0.62119	        0.492525	
        0.530311	        0.607505	        0.504081	        0.546011	
         0.15902	        0.444824	        0.514588	        0.496803	
        0.950076	        0.911158	        0.612817	        0.524284	
        0.916474	        0.955035	        0.658313	        0.572821	
        0.235079	        0.159943	        0.436832	        0.510225	
         0.09693	        0.539312	        0.561978	        0.483513	
        0.133956	        0.552022	        0.494928	        0.464559	
        0.429262	        0.426934	         0.51859	        0.542515	
        0.513472	        0.714529	        0.426726	        0.477922	
         0.99436	        0.980745	        0.539297	        0.526229	
         0.39334	        0.662643	        0.556287	        0.510969	
        0.178382	        0.315572	         0.63242	        0.509661	
        0.631461	         0.34588	        0.367594	        0.505003	
         0.26597	        0.507103	        0.515825	        0.483574	
        0.201985	        0.557891	        0.467567	        0.503766	
        0.220332	        0.420048	        0.521695	        0.522201	
        0.811721	        0.438167	        0.428272	        0.494814	
        0.318017	        0.291783	        0.444606	        0.519156	
       0.0267809	        0.292893	        0.535883	        0.510912	
          0.3812	        0.343757	        0.532665	        0.492739	
        0.719338	        0.679554	        0.571856	        0.457829	
        0.103015	        0.357241	         0.40401	        0.518395	
        0.414043	         0.46825	         0.50212	        0.447405	
        0.267474	        0.440094	        0.578594	        0.557184	
        0.939119	         0.55115	        0.517187	         0.46597	
        0.493578	        0.650213	         0.57457	        0.496474	
        0.868259	        0.553483	        0.508194	        0.524615	
        0.805636	        0.606353	        0.564807	        0.463713	
        0.163704	        0.254799	        0.435947	        0.458409	
        0.393048	        0.507202	        0.626498	        0.487762	
        0.181319	        0.586085	         0.49715	        0.442194	
        0.843521	        0.500196	        0.447512	        0.467691	
         0.42398	        0.450921	        0.448299	        0.481684	
        0.513029	        0.318615	        0.585077	        0.502593	
        0.157589	        0.352022	        0.471935	        0.548219	
        0.565396	        0.681869	        0.559271	        0.495472	
        0.287995	        0.145737	        0.359376	        0.476345	
        0.480615	        0.456754	        0.466289	        0.519005	
        0.703008	        0.602415	        0.620784	        0.551299	
        0.834715	        0.682771	        0.590421	        0.542512	
        0.233138	        0.340055	        0.531886	        0.523626	
        0.759964	        0.523435	        0.590268	        0.506565	
        0.783976	        0.852068	        0.560032	        0.488285	
         0.06195	        0.233241	        0.313247	         0.49006	
       0.0909365	        0.424425	        0.311557	        0.488956	
        0.996866	        0.597743	        0.585684	        0.502188	
        0.374728	        0.461639	        0.471996	        0.530915	
        0.872046	        0.609106	         0.43386	        0.484631	
         0.83829	        0.603982	        0.538217	        0.505419	
        0.377742	        0.667462	        0.538394	         0.51297	
       0.0418745	        0.430829	        0.530619	         0.49364	
        0.382953	        0.631317	        0.509263	        0.473898	
        0.358125	        0.218131	        0.343485	        0.472166	
        0.836398	        0.896934	        0.500187	        0.551422	
        0.885009	        0.810534	        0.696335	        0.533445	
        0.063105	         0.22301	        0.521067	        0.494061	
        0.942537	        0.574074	        0.544972	        0.513813	
        0.187102	        0.251137	        0.290156	        0.520736	
       0.0669014	        0.344323	        0.290961	        0.492516	
        0.265146	        0.134675	        0.393913	        0.502874	
        0.119878	        0.258934	        0.416447	        0.492005	
       0.0989408	        0.536051	        0.467334	        0.482285	
        0.811443	        0.621781	        0.381358	        0.459226	
        0.082918	         0.12552	        0.420544	        0.489419	
        0.242675	        0.284063	        0.394889	        0.505773	
         0.18565	        0.247975	        0.547946	        0.528481	
        0.488973	        0.697714	        0.436431	        0.466334	
        0.189764	         0.26611	        0.335181	        0.479666	
        0.595544	        0.329515	        0.561001	        0.520423	
        0.142549	        0.212339	        0.446876	        0.489408	
        0.994884	        0.612195	        0.486324	         0.51309	
         0.92327	        0.926196	        0.584705	        0.533272	
        0.522711	        0.310172	        0.613398	        0.534208	
        0.937029	         0.64232	        0.547307	        0.512859	
       0.0878798	        0.129079	        0.297156	        0.446955	
        0.813285	        0.848374	        0.499076	        0.512899	
        0.215652	         0.52268	        0.493158	        0.527822	
        0.514103	        0.609588	        0.395385	        0.509981	
        0.499362	        0.667635	        0.452487	        0.488813	
        0.828533	        0.492526	        0.468246	        0.427346	
        0.856483	        0.830295	        0.580943	        0.515025	
        0.620441	        0.487988	        0.672325	         0.50176	
        0.547063	        0.487931	        0.458022	        0.502324	
        0.258599	        0.171515	        0.296051	        0.502541	
         0.32693	        0.308333	        0.290829	        0.465849	
         0.32958	        0.543715	         0.45252	        0.498033	
          0.5572	        0.640876	        0.494651	        0.523837	
         0.86202	        0.582483	        0.519434	        0.512139	
         0.74222	        0.644951	        0.562097	        0.530554	
         0.16162	        0.184283	        0.494534	        0.467118	
        0.774409	        0.725345	        0.553282	        0.495953	
        0.801452	        0.461433	         0.44495	        0.488157	
        0.761413	         0.54028	        0.572325	        0.557677	
        0.670667	        0.468628	        0.357778	        0.451009	
        0.553101	        0.605491	        0.491418	        0.468411	
         0.15043	        0.136313	        0.448469	        0.481565	
        0.599257	        0.572662	        0.463502	        0.449379	
        0.704226	        0.691253	        0.460345	        0.522487	
        0.694418	        0.710599	        0.635034	        0.538734	
        0.184279	        0.204037	        0.386988	        0.486458	
        0.589525	        0.736428	        0.519817	        0.499194	
        0.745963	        0.397247	        0.505749	        0.444284	
        0.817763	        0.428132	        0.470879	        0.527621	
        0.144925	        0.482104	        0.555655	        0.496709	
        0.227084	        0.364854	        0.425098	        0.479976	
        0.706015	        0.618923	        0.264853	        0.508393	
        0.914139	        0.749773	          0.6754	        0.577149	
        0.174305	        0.451651	        0.554533	        0.521821	
        0.078195	        0.229594	        0.654381	        0.523144	
        0.934132	        0.849193	        0.504498	        0.500919	
        0.780914	        0.863352	        0.630276	        0.501557	
         0.21593	        0.375766	        0.468073	        0.493845	
        0.559289	        0.580275	        0.544007	        0.495519	
        0.157045	        0.525667	        0.650307	        0.503917	
        0.225854	        0.204815	        0.385287	        0.469934	
       0.0550792	        0.498084	        0.559245	        0.518206	
        0.138722	        0.112338	        0.395393	        0.499491	
        0.383016	        0.680791	        0.545859	        0.483081	
        0.875395	        0.779446	        0.532479	         0.49818	
        0.564744	         0.64949	        0.487006	         0.45033	
        0.339921	        0.216347	        0.487882	        0.549607	
        0.817558	        0.848745	        0.555403	        0.505798	
        0.532466	        0.297116	        0.318132	        0.465877	
        0.500324	        0.256034	        0.511355	        0.523208	
        0.375314	        0.287893	        0.525714	         0.51891	
        0.582868	        0.584689	        0.528052	        0.488213	
        0.488283	        0.590552	        0.588907	         0.54523	
        0.788579	        0.783847	        0.589351	        0.498051	
        0.207169	         0.31481	        0.574435	        0.527626	
        0.961078	        0.665427	        0.516936	        0.516782	
         0.46718	        0.427674	        0.575125	        0.498405	
        0.726315	        0.805287	        0.516663	          0.5147	
        0.233846	        0.390426	        0.535313	        0.482488	
        0.263491	        0.165519	        0.490183	        0.477152	
         0.22179	        0.499576	        0.467811	        0.511826	
        0.476633	        0.447143	        0.554801	        0.497585	
       0.0892339	        0.241419	        0.676294	        0.535825	
        0.883648	        0.446027	        0.388269	        0.482804	
        0.727038	        0.656513	        0.438892	        0.528202	
        0.953706	        0.902406	          0.6201	        0.517813	
        0.701611	        0.351554	         0.52958	        0.539411	
       0.0842159	        0.304673	        0.524833	        0.523065	
        0.755995	        0.748279	        0.558661	        0.567202	
        0.943357	        0.961695	        0.706564	        0.557267	
        0.799637	         0.88439	        0.655241	        0.550173	
        0.403013	        0.610554	        0.589442	        0.483994	
        0.950461	         0.85701	        0.735732	        0.513147	
       0.0320297	        0.252394	        0.374436	        0.454769	
        0.522449	        0.466199	        0.564827	        0.545557	
        0.892296	        0.521416	         0.52906	        0.469193	
        0.697268	        0.725195	        0.677649	        0.513321	
        0.621068	        0.760199	        0.556912	        0.549855	
        0.264166	        0.623697	        0.537335	        0.479428	
        0.721973	        0.538565	        0.541639	        0.497385	
        0.841983	        0.496395	        0.461989	        0.475386	
        0.589838	        0.540073	        0.510018	        0.492328	
        0.967874	        0.949558	        0.512094	          0.4896	
        0.819433	        0.719185	        0.535809	        0.510037	
        0.950519	        0.498794	        0.616124	          0.5399	
        0.737561	         0.68638	        0.439893	        0.505529	
        0.919068	        0.593265	        0.510314	        0.451808	
        0.367991	        0.207227	        0.464137	        0.529593	
        0.182908	        0.491676	        0.508232	         0.49842	
        0.270732	        0.603681	        0.566159	        0.501395	
         0.84343	        0.678087	        0.451567	        0.499405	
        0.167781	        0.575068	        0.536844	        0.484763	
         0.37023	        0.622653	        0.513082	        0.544685	
        0.695436	        0.472613	        0.492012	        0.503443	
        0.490026	        0.490501	        0.657119	        0.522059	
        0.446541	        0.345445	        0.424734	        0.545627	
        0.364668	        0.650835	        0.575431	        0.502622	
        0.500284	        0.705466	        0.617078	        0.510588	
        0.610734	        0.571142	        0.463602	        0.500162	
        0.905938	        0.887103	        0.564962	        0.483252	
        0.724498	        0.401172	        0.474623	        0.488607	
       0.0483203	        0.393256	        0.507732	        0.505083	
        0.593872	        0.482561	         0.53428	         0.48564	
        0.158588	        0.392351	        0.435044	         0.50538	
        0.142215	        0.332164	         0.50039	        0.485658	
        0.801124	        0.613815	        0.585067	        0.470342	
        0.269286	        0.396024	        0.508483	        0.506875	
        0.652043	        0.438175	        0.347394	        0.514336	
        0.348135	         0.20865	        0.467575	        0.514741	
        0.135211	        0.445907	        0.450154	        0.481202	
        0.399908	         0.61613	        0.561347	        0.499176	
        0.432957	        0.636279	        0.569959	        0.532241	
        0.427809	        0.640148	         0.49322	        0.544821	
        0.933233	        0.658712	        0.480787	        0.516373	
        0.968349	        0.667888	        0.475758	        0.497496	
        0.265278	        0.366928	        0.473934	        0.522441	
        0.265162	        0.421378	        0.481309	        0.541804	
        0.287677	        0.453846	        0.438259	        0.510108	
        0.945153	        0.557447	        0.607459	        0.541232	
         0.61225	        0.685816	        0.465935	        0.478662	
        0.131141	        0.224388	        0.437711	        0.511342	
       0.0837448	       0.0571134	        0.345424	         0.49112	
        0.207815	        0.267135	        0.335135	        0.479178	
        0.598669	        0.655238	        0.542477	        0.552957	
         0.02781	       0.0516588	        0.381025	        0.467203	
       0.0656636	        0.211426	        0.360579	        0.558599	
         0.61771	        0.471722	         0.54357	        0.504905	
        0.406379	        0.387337	        0.515688	        0.431402	
        0.299734	        0.558555	        0.515969	        0.502282	
        0.965328	         0.62706	        0.491625	        0.499013	
        0.938204	        0.910575	        0.534605	        0.518764	
        0.585263	        0.648468	        0.351298	        0.498321	
       0.0484844	        0.264483	        0.467636	        0.511463	
        0.206164	        0.210192	        0.581235	        0.527859	
        0.804922	        0.896002	        0.673774	        0.533634	
        0.790628	        0.453869	        0.527237	        0.504554	
        0.124163	        0.449442	        0.391776	        0.483667	
      0.00447946	       0.0191306	        0.349984	        0.546215	
        0.883576	        0.688832	        0.367644	        0.469843	
        0.636367	        0.518831	        0.501521	        0.485944	
        0.792894	        0.611892	        0.513618	        0.475136	
        0.885047	        0.587023	        0.607727	        0.505153	
        0.747865	        0.566974	        0.466582	        0.534068	
        0.175598	        0.408018	        0.353153	        0.491373	
        0.745627	        0.461734	        0.622647	        0.489056	
        0.810835	        0.791112	        0.525026	        0.557724	
        0.987316	        0.521109	         0.46998	        0.462328	
        0.324699	        0.263833	        0.454905	        0.485724	
        0.856879	        0.536833	        0.461046	        0.511119	
        0.495825	        0.726617	        0.680952	        0.518141	
        0.251174	        0.335119	        0.576948	        0.504738	
       0.0142525	         0.46704	         0.42125	        0.516278	
        0.239006	        0.442132	        0.468603	        0.440802	
        0.815864	        0.536508	        0.449478	        0.494513	
       0.0194315	       0.0796466	        0.307632	         0.48672	
        0.506918	        0.700936	        0.461164	        0.509064	
        0.666252	        0.477632	        0.447291	        0.469582	
        0.440183	        0.429129	        0.526366	        0.542194	
       0.0671018	        0.529045	        0.582241	        0.476708	
       0.0366641	        0.211096	        0.610843	        0.506337	
        0.642544	         0.38705	        0.526263	        0.496802	
        0.354072	        0.349785	        0.497842	        0.500616	
       0.0851751	         0.49983	         0.48156	        0.533886	
        0.409167	         0.47619	         0.52574	        0.522926	
        0.318268	        0.245992	        0.465669	        0.479511	
        0.403602	        0.219831	        0.371284	        0.452073	
        0.505155	        0.428743	        0.450287	        0.522301	
        0.515984	        0.276062	        0.619099	        0.536887	
         0.46586	        0.521116	        0.639852	        0.493558	
        0.532125	        0.671031	        0.580044	         0.49488	
       0.0384599	        0.518104	         0.50045	        0.522325	
        0.755884	        0.848735	        0.533024	        0.531615	
        0.925143	        0.755733	        0.572629	        0.530178	
        0.255396	        0.231128	         0.48679	        0.517864	
        0.113543	        0.363959	        0.515042	        0.510423	
        0.369513	        0.400177	        0.449876	        0.478876	
        0.731039	        0.639293	        0.526305	        0.496972	
        0.991042	         0.49994	        0.483237	        0.454318	
        0.629726	        0.568527	         0.56185	        0.508618	
        0.766277	         0.44472	         0.47172	        0.485607	
        0.724318	        0.646265	        0.519858	        0.487627	
       0.0660514	        0.128319	        0.553762	        0.501074	
        0.136125	        0.373758	        0.555357	        0.441918	
        0.486669	        0.429228	        0.532874	        0.465863	
        0.287103	        0.513444	        0.399696	        0.505278	
        0.113895	        0.103829	        0.364557	        0.475812	
        0.606582	        0.319944	        0.433005	        0.472865	
        0.774518	        0.793326	        0.528139	        0.490882	
        0.186985	        0.374119	        0.518989	        0.505577	
        0.775726	         0.77899	        0.581017	        0.510313	
        0.868453	        0.845812	        0.454736	        0.525818	
        0.451021	        0.347803	        0.543761	        0.536542	
        0.886188	        0.474736	        0.390737	        0.494115	
        0.366211	        0.666637	        0.519932	        0.520143	
        0.936705	        0.649457	        0.436439	        0.499656	
        0.348832	        0.264201	        0.519882	        0.453888	
        0.385672	        0.437612	        0.438368	        0.526946	
        0.776296	        0.781945	        0.519624	        0.506997	
       0.0189178	       0.0988455	        0.364889	        0.437279	
        0.786455	        0.554607	        0.646383	        0.464015	
        0.320339	        0.656328	        0.630165	        0.551764	
        0.278533	        0.335651	        0.463785	        0.467105	
        0.836188	        0.624022	        0.621513	        0.496229	
       0.0912999	        0.519795	        0.536505	        0.486357	
        0.973496	        0.554069	        0.585682	        0.481469	
       0.0853686	       0.0750892	        0.420918	        0.490018	
        0.725952	        0.479101	        0.503334	         0.47039	
      0.00793017	        0.437648	        0.516005	        0.495947	
        0.790839	         0.81631	        0.700385	        0.503123	
       0.0903651	        0.319923	        0.451755	        0.532742	
        0.362641	         0.20069	        0.341818	        0.433187	
        0.794353	        0.777672	        0.535385	        0.500872	
        0.281968	        0.325769	        0.546985	        0.476709	
        0.894173	        0.632718	        0.576773	        0.444365	
        0.989636	        0.711611	        0.485194	        0.534013	
       0.0951789	        0.330571	        0.427964	        0.490125	
        0.617566	        0.658939	        0.457762	        0.524047	
           0.272	        0.579162	        0.463311	        0.519474	
        0.971092	        0.557175	         0.45948	        0.469286	
        0.311551	        0.547073	        0.410162	         0.47221	
        0.261055	        0.210128	        0.632013	        0.484045	
       0.0622647	        0.241146	        0.559233	        0.492164	
        0.946007	         0.47948	        0.421776	        0.466161	
        0.533072	        0.644233	        0.608986	         0.51782	
        0.393901	        0.632732	        0.588508	        0.533229	
       0.0254785	        0.214109	         0.43342	        0.487184	
        0.631839	        0.728088	        0.661097	        0.530508	
        0.369391	        0.560594	        0.505777	        0.541129	
        0.264484	         0.45139	        0.517433	        0.468011	
        0.610508	        0.507654	        0.642571	        0.515641	
        0.644765	        0.499303	         0.41343	        0.492434	
        0.775296	        0.868064	         0.64879	        0.562771	
        0.753277	        0.807056	         0.38419	        0.466821	
        0.438211	        0.429186	        0.482161	        0.488074	
        0.873124	        0.548391	        0.596215	        0.494774	
        0.603551	        0.366018	        0.398245	        0.426407	
       0.0250767	       0.0354284	        0.383996	        0.516678	
        0.429787	        0.611239	        0.544396	        0.490031	
        0.786007	        0.718272	        0.621615	        0.506363	
        0.888346	        0.723608	         0.55755	        0.516459	
       0.0364704	        0.114374	        0.408368	        0.471579	
        0.222543	        0.385477	        0.538489	        0.520388	
        0.437654	        0.294235	        0.437908	        0.477342	
        0.347063	        0.474966	        0.488959	        0.487574	
          0.5692	        0.696016	        0.610351	        0.532539	
         0.27645	        0.344663	        0.363431	        0.510456	
        0.229041	        0.178438	        0.525016	        0.514502	
        0.220757	        0.528051	        0.530102	        0.510772	
        0.334326	        0.493369	        0.473982	        0.505339	
        0.921821	        0.896852	        0.589072	        0.545838	
        0.130662	         0.36258	        0.316213	        0.468113	
        0.129611	       0.0841698	        0.582465	        0.554944	
        0.286214	        0.530264	        0.615558	        0.457674	
        0.666463	        0.725812	        0.520106	        0.520316	
        0.006246	       0.0760282	        0.446989	        0.466499	
        0.217866	        0.288429	        0.340743	        0.507023	
        0.628622	        0.778708	        0.561621	        0.509167	
       0.0982846	        0.244338	         0.60543	        0.512862	
        0.888373	        0.844623	        0.388831	        0.470719	
        0.466254	        0.691824	        0.423274	        0.505155	
        0.898096	        0.872692	        0.534175	        0.493774	
         0.50881	        0.372411	        0.322111	        0.479763	
       0.0573749	       0.0886282	        0.386505	        0.520303	
        0.965294	        0.697586	         0.44281	        0.495684	
       0.0643447	        0.056259	         0.38185	        0.553608	
        0.340359	        0.393558	        0.512338	         0.47259	
        0.109436	        0.424254	        0.389692	        0.504448	
        0.320515	          0.4256	        0.461428	         0.51961	
         0.66621	        0.731702	        0.462042	        0.476869	
        0.234658	         0.43762	        0.480594	         0.54133	
        0.944615	        0.650464	        0.492228	        0.515085	
        0.694737	        0.540875	        0.485142	        0.484096	
        0.759674	         0.63812	        0.520338	        0.501973	
         0.93671	        0.597393	        0.557739	         0.52667	
        0.868007	        0.671417	         0.53463	        0.483755	
         0.62093	        0.580556	        0.498176	        0.539809	
        0.826506	        0.809036	        0.427719	        0.528448	
        0.782333	        0.695091	        0.493679	        0.505813	
        0.416141	        0.525948	        0.289241	         0.44938	
        0.323535	        0.547937	         0.68291	        0.509791	
        0.995552	        0.809859	         0.50257	        0.496667	
         0.76167	        0.750709	        0.629178	         0.50586	
        0.765896	         0.50145	        0.464616	        0.516229	
        0.391798	        0.234308	        0.432255	        0.467738	
        0.961202	        0.902062	         0.62382	        0.518908	
       0.0891777	        0.340555	        0.592514	        0.505009	
        0.855822	        0.764071	        0.700387	        0.499381	
        0.124876	        0.436839	        0.493202	        0.514966	
        0.124729	       0.0629226	        0.375456	        0.490099	
        0.301421	        0.436329	        0.534031	        0.515579	
        0.882317	        0.835105	        0.570637	        0.518622	
        0.427979	        0.363481	        0.383907	        0.541108	
        0.794329	        0.830578	        0.574271	        0.526097	
        0.719855	        0.743033	        0.511065	        0.528937	
        0.389157	         0.41113	          0.4991	        0.542206	
        0.838401	        0.798198	        0.646123	        0.533031	
        0.100742	        0.148211	         0.32622	        0.459778	
        0.822586	        0.861153	        0.520553	         0.51934	
        0.543473	        0.320185	        0.470511	        0.531652	
     0.000274522	        0.129589	        0.417923	        0.522361	
        0.740293	        0.434068	        0.417836	        0.531013	
        0.926707	        0.732283	        0.594392	        0.533683	
        0.710452	        0.716733	        0.588024	        0.511441	
        0.931338	        0.554828	        0.370071	        0.491051	
        0.150322	        0.472363	        0.544494	        0.497718	
        0.444632	        0.328587	        0.464069	        0.493307	
        0.460384	        0.364337	        0.396576	        0.458027	
        0.822033	        0.434125	        0.318613	        0.497042	
        0.438915	        0.652182	        0.455033	        0.494493	
