            exp1	            exp2	           exp10	          exp100	
        0.201486	         1.12529	         1.24394	         1.09184	
         0.23935	        0.159082	        0.743648	         1.02894	
         4.66787	         2.55249	         1.57736	        0.977713	
         1.56431	        0.863017	         1.01804	         1.18158	
         1.09212	        0.592239	         1.44403	         1.12125	
         1.36587	        0.692759	        0.258123	        0.863232	
         1.78951	          0.9407	         1.09036	        0.980914	
       0.0028118	         1.79969	         1.17645	        0.950756	
       0.0840616	         1.16179	        0.582018	        0.969587	
        0.478644	        0.305922	        0.692005	         1.05129	
         1.68282	         1.56387	        0.751017	        0.853942	
         1.28703	          0.6779	         1.01499	        0.987793	
        0.508193	        0.954375	         1.06009	         1.08766	
      0.00167462	       0.0625591	        0.763911	        0.854519	
        0.231074	         1.22056	        0.612508	         1.06215	
        0.231028	        0.123125	        0.795845	         0.90649	
        0.416197	        0.493565	        0.488704	         1.00092	
        0.129462	        0.503275	          1.0613	         1.15645	
        0.119204	        0.125959	         1.09459	         1.09388	
         1.39406	         0.87566	         1.58554	        0.988668	
          2.1827	         1.10785	        0.688294	         1.00626	
         1.39091	         1.61359	        0.979219	        0.925495	
         1.73475	         1.11193	        0.962436	        0.883109	
        0.962501	         0.93842	         1.13377	         0.95694	
         1.01982	         0.78429	         1.16232	        0.989429	
          2.4833	         1.75883	          1.1812	         1.09018	
         2.19906	          1.1715	        0.806227	        0.886295	
        0.279668	        0.730752	         0.74608	        0.901465	
         4.77772	         2.54288	        0.813894	        0.940498	
         1.24774	         1.52924	        0.775089	        0.974383	
         0.22406	        0.112341	        0.453419	        0.910861	
        0.659655	         1.03144	        0.824273	         0.74943	
         1.11981	         0.75463	        0.589312	         1.15072	
         1.95639	         1.45559	         1.59465	        0.945291	
         2.29394	         1.25711	        0.705025	        0.873416	
       0.0654514	       0.0495674	        0.858448	         1.11082	
        0.115034	        0.584843	        0.886786	         1.07878	
         1.12074	        0.568421	         1.01747	         0.93923	
        0.525304	        0.622942	         2.21995	          1.0348	
        0.026394	        0.184994	        0.833564	         1.24393	
         1.27084	         0.65398	        0.685666	         1.04102	
        0.718441	        0.693416	         1.28942	         1.13148	
        0.122096	        0.516441	        0.529403	        0.901141	
        0.606886	         1.19713	        0.790524	        0.988376	
        0.412835	        0.939882	        0.916067	         0.99898	
         1.13231	        0.668167	        0.618453	        0.947072	
        0.190391	         1.04493	        0.652351	         0.85478	
         1.46783	        0.867042	        0.862636	        0.907247	
        0.543497	        0.346222	         1.04484	        0.915161	
        0.796152	        0.901861	        0.610466	         1.06993	
        0.851839	         1.94798	         1.22055	         1.15976	
        0.374494	         3.20167	         2.19957	         1.22058	
       0.0730612	        0.248116	        0.668856	         1.05578	
        0.441311	        0.351115	         1.29075	          1.0397	
        0.143286	        0.412895	        0.811927	         1.00562	
        0.414296	        0.215842	         1.10687	        0.896797	
         2.04079	         1.20373	         1.07405	         1.08155	
        0.150807	       0.0918459	        0.683589	        0.967439	
         1.03802	         1.18538	         1.66384	        0.988169	
         5.55057	         2.83644	         1.29303	         1.00876	
         3.16699	         1.69644	        0.982152	         1.03726	
         1.47788	         1.33828	         2.13061	          1.0384	
        0.452469	         0.26372	        0.727854	        0.889575	
         2.36161	         1.80031	         1.49925	         1.22737	
         0.75809	        0.851514	          0.9233	        0.918799	
        0.671938	         1.48859	         1.14552	         1.16871	
         1.22613	         2.16153	         1.25878	         1.08987	
         1.83602	         1.01852	         1.01164	         1.06136	
        0.319857	        0.790843	        0.972137	        0.951683	
        0.765236	        0.454474	        0.824519	        0.992477	
       0.0543217	        0.805134	        0.883848	        0.942764	
        0.171126	        0.352567	        0.995014	         1.09836	
        0.947344	         1.35655	        0.890122	         1.26662	
         1.73577	         1.56108	         1.79505	         1.05556	
        0.346586	        0.575123	        0.822353	        0.864834	
        0.726545	          1.0574	         1.22762	         1.02683	
        0.491322	        0.370308	        0.678772	         1.00714	
         3.86063	         2.45092	          1.5839	        0.960617	
        0.198662	        0.788266	        0.587468	         1.02592	
        0.706682	         1.52355	         1.11624	        0.985202	
         0.53166	        0.357864	        0.740223	        0.985892	
         1.15735	        0.875663	        0.910971	        0.920822	
        0.172253	        0.939955	        0.907016	        0.979898	
         0.70951	        0.926408	        0.708606	           1.115	
        0.711236	        0.789384	        0.953856	         1.08507	
         1.15235	          1.6013	        0.995925	        0.871997	
        0.219231	        0.702638	         1.13406	         1.07241	
        0.119658	        0.514714	        0.824391	        0.833224	
        0.937472	        0.995962	         1.51546	        0.971603	
         0.58192	         0.35217	         1.45192	         1.04527	
         0.11918	         1.37482	         1.16069	         1.09543	
        0.126209	         1.99313	        0.940283	        0.855723	
         2.77933	         1.92857	         1.01745	        0.855855	
         1.46892	         1.30395	        0.909011	        0.833778	
       0.0433828	         0.32547	        0.710826	         1.03782	
        0.259381	         1.96707	         1.31696	         1.06189	
         1.10189	         2.98021	         1.23205	         1.04929	
        0.818042	        0.705151	        0.822377	         0.93012	
        0.255417	        0.925912	         1.14633	        0.912344	
        0.999454	        0.867226	         1.00416	         1.01734	
         2.15813	         1.47125	         1.06173	        0.937875	
        0.043484	        0.933637	        0.901112	        0.969544	
        0.450635	        0.355825	        0.555497	         1.00845	
        0.492091	        0.872143	         1.71456	         1.10944	
        0.620245	        0.335415	        0.425933	        0.949463	
        0.533947	        0.486466	        0.759781	         1.01319	
         1.83959	         1.52503	         1.28437	        0.984297	
        0.783159	         1.52261	        0.678198	         1.02695	
         0.44076	        0.358376	        0.540064	        0.969072	
        0.375424	        0.256314	         1.38435	         1.07567	
        0.700479	         2.64678	         1.20286	        0.956989	
      0.00900698	          2.1703	         0.95176	         1.02479	
         1.27994	         1.80724	        0.657825	          1.1039	
        0.148585	        0.741007	        0.708815	         1.02811	
         2.31576	         1.51334	         1.12979	        0.953306	
        0.110989	       0.0786728	        0.689262	         1.02679	
         1.68595	        0.922103	         1.15043	         1.06158	
         5.48659	         2.98724	          1.8614	        0.960819	
         1.41134	         1.06467	        0.921154	        0.965481	
       0.0961021	        0.505033	        0.669501	         1.05704	
        0.265814	        0.256305	        0.731739	        0.881093	
        0.445912	        0.688815	        0.542958	        0.854896	
        0.397572	        0.207234	        0.592922	          1.0476	
         1.89797	         2.13757	         0.93923	        0.910812	
        0.140283	        0.757224	        0.929576	         1.05019	
        0.618062	        0.566388	        0.918176	        0.926023	
        0.540092	        0.286352	         1.02089	        0.910047	
          2.5126	         3.39485	         1.47599	         1.09423	
        0.991925	         1.61268	         1.47579	         1.16463	
        0.836316	         1.42765	         1.04612	         1.11245	
         1.02537	         1.10085	        0.822501	        0.947165	
        0.230328	         1.18416	         1.19265	        0.965469	
         2.64738	         4.15697	          1.2443	         1.02128	
        0.745721	        0.896848	        0.806645	        0.859995	
        0.702515	        0.438131	        0.460403	         1.01812	
         1.99147	         1.27907	        0.937685	         1.00209	
        0.293488	         2.36754	         2.22653	         1.02493	
        0.328313	        0.558149	          1.2031	         1.13777	
        0.939931	         0.51333	         1.24025	         1.02582	
         1.94965	         1.40053	        0.551607	        0.860386	
        0.971989	        0.713558	        0.802949	        0.885905	
         3.18246	         1.87314	         1.03536	         1.18289	
        0.558179	        0.662858	        0.861533	         1.05574	
         1.40496	        0.902134	         1.14833	        0.994112	
         2.48208	         1.77319	        0.991614	        0.893436	
        0.267208	        0.450089	        0.967846	         1.04028	
         0.76568	        0.630054	         1.07443	        0.898958	
        0.109077	         1.99805	        0.918541	        0.948839	
        0.449781	         1.28092	         1.15581	         1.17334	
         2.45119	         1.34209	         1.42511	         1.01524	
        0.838515	         1.07915	        0.959777	        0.875092	
        0.950643	         1.22174	         1.23634	         0.91106	
        0.405572	        0.270153	        0.943078	         1.07206	
        0.421993	         0.24887	        0.747078	         1.18866	
          1.4986	        0.754499	        0.582548	         1.05852	
       0.0969277	        0.100445	         1.02913	         1.09681	
          1.3769	         0.96546	        0.716167	         1.23306	
         1.69946	           1.293	        0.731579	         1.01652	
        0.810966	        0.463975	        0.846332	        0.999262	
      0.00535767	        0.254412	        0.988279	         1.18173	
         1.58302	         2.22431	         1.04897	           1.035	
        0.449786	        0.377372	        0.526526	        0.865086	
         0.33137	        0.480684	         1.12111	        0.958114	
        0.842695	         1.08913	         1.40896	         1.01985	
        0.487979	        0.415901	         1.13904	         1.06486	
        0.509978	        0.980446	         1.48416	        0.918895	
        0.068118	        0.728063	         1.06555	        0.962373	
         1.40404	         1.70123	         1.15738	        0.980468	
         2.69118	         1.54736	         1.23716	         1.03702	
          1.9185	         1.01824	        0.612845	        0.941466	
        0.336399	         1.12267	          1.3256	        0.973616	
        0.718321	        0.488399	        0.875521	        0.941962	
        0.564665	        0.408233	        0.879427	        0.917901	
         0.36093	        0.206681	          1.2967	         0.91304	
        0.164683	         0.17521	         1.67023	         1.13818	
        0.398783	        0.388112	        0.923759	        0.896916	
        0.850758	        0.473899	        0.508898	         1.13756	
        0.439868	        0.607547	         1.03898	         1.25032	
         2.05342	         1.95773	         1.00365	        0.881585	
         2.31845	           1.813	        0.636897	         1.08746	
         1.87566	         1.16617	         1.29014	         1.01635	
         4.05434	         2.42657	         1.41882	         1.02406	
        0.806663	        0.575572	         1.36936	        0.992627	
         1.74405	         1.27708	         1.82846	         1.19651	
        0.513544	        0.603276	        0.623378	        0.973174	
        0.580023	        0.337951	         1.26336	         1.14427	
         1.93506	          1.3265	        0.836034	         0.84158	
         1.42448	         1.51599	         1.01213	        0.951883	
        0.726309	        0.449261	         1.40007	         1.09114	
        0.654675	        0.347385	        0.776492	        0.996982	
         5.20959	         2.66943	         1.08665	        0.998425	
        0.182947	         1.00816	        0.912688	         1.10922	
        0.949034	         0.86753	         1.16827	        0.999628	
         1.39215	        0.971007	         1.12637	         1.07313	
        0.450284	        0.451894	        0.680478	        0.907809	
        0.838192	         0.43702	         1.28326	         1.04468	
        0.452357	        0.754688	         1.01214	        0.995036	
       0.0734852	        0.525078	         1.10822	        0.970154	
        0.298359	        0.776117	         1.00639	         1.14509	
         2.14789	         1.85051	        0.963791	        0.930973	
         1.98936	         1.19907	         1.17053	        0.987291	
       0.0927538	        0.157769	         1.31094	         1.11426	
        0.927989	         1.01483	         1.48551	         0.97029	
        0.219256	        0.755486	          1.0777	         1.12797	
        0.454087	          1.3386	        0.981295	         1.09616	
         1.42814	         1.74342	         1.07535	         1.02136	
         1.61277	         1.03902	        0.881464	        0.890061	
         1.00975	        0.509436	         1.18026	         1.05346	
         1.07483	         1.14763	        0.711615	         0.93601	
         0.07376	        0.714457	        0.891365	        0.864186	
         1.08639	         1.11091	         1.36615	        0.978895	
        0.862972	        0.992604	        0.870495	        0.883882	
         1.41353	         1.29806	        0.689551	         1.02927	
        0.178833	        0.899736	         1.03195	        0.996169	
         1.64455	         1.18499	        0.891311	         1.00607	
        0.795717	         2.13724	         1.07691	        0.971341	
          1.7231	         2.10659	         1.17946	          1.0508	
       0.0329379	         1.54208	        0.873699	        0.956413	
         0.85191	        0.636794	         1.29624	         1.07019	
        0.682117	        0.853166	         1.02273	         0.93247	
         1.90997	         1.60023	          1.1056	        0.991342	
        0.502556	        0.429238	          1.4057	         1.05714	
         2.62303	         1.58202	         1.04073	         1.07118	
        0.383284	        0.810406	         1.02512	         1.02026	
         2.10417	         2.95677	         1.61829	        0.966886	
        0.528178	         1.14027	        0.675601	         1.10998	
         1.22736	        0.642194	        0.719061	        0.814572	
        0.101098	        0.142442	         0.63325	        0.873715	
         1.06564	         1.64237	         1.41611	          1.2217	
        0.316066	        0.397941	        0.976015	        0.953568	
        0.638297	          1.2583	         1.40696	         1.05889	
       0.0875297	        0.117758	        0.872039	         0.92498	
       0.0980343	        0.215633	        0.754235	        0.957962	
         0.11659	        0.152349	        0.806442	        0.933318	
         0.33151	        0.347455	        0.750561	         1.03536	
       0.0136569	         3.06902	         1.05248	        0.853541	
         3.20988	         2.89926	         1.22569	         1.08086	
        0.458611	        0.250372	        0.962725	         1.04568	
        0.767593	         1.18061	        0.678609	        0.946039	
        0.107697	         0.86078	        0.968825	        0.928654	
        0.600888	         0.48237	         1.13346	        0.950886	
       0.0800474	       0.0666779	        0.676613	         1.09996	
         2.69491	         1.70264	         1.17305	         1.05489	
        0.341749	        0.809766	        0.681858	        0.962774	
         1.42779	         1.16658	         1.12135	         0.98977	
        0.299141	        0.368715	         1.02542	        0.961482	
        0.590631	        0.932689	         1.14856	         1.28474	
        0.494276	        0.436771	        0.795062	         1.17048	
        0.151519	        0.580994	        0.801499	         1.00452	
          1.0308	         1.81443	        0.923252	         1.05858	
        0.638433	         1.44267	          1.5116	         1.13547	
         1.40391	         1.63105	        0.842194	         1.06135	
         1.17131	         0.69667	         0.94405	        0.886387	
         0.96815	         2.84846	         1.40879	        0.949523	
         4.67378	         2.43366	         1.10548	         1.05894	
          1.1472	          1.7602	         1.12931	         1.04171	
       0.0461204	       0.0494483	         0.73869	        0.841116	
        0.107514	        0.352673	        0.778238	        0.983266	
        0.592204	         0.37376	        0.742148	         1.09772	
         2.74237	         1.39438	         1.48833	         1.10008	
         1.22814	          1.7163	         1.07749	        0.981291	
         1.70988	         1.05892	        0.819103	        0.977267	
        0.203082	        0.374762	         1.29129	         1.00889	
         0.36529	         1.40034	         1.14905	         1.08828	
        0.495698	        0.385664	        0.703945	         1.00817	
        0.528194	        0.627827	         1.20398	        0.951528	
          1.1289	        0.899059	         1.00703	         1.18345	
        0.128488	       0.0943626	         1.04181	        0.902356	
          0.6967	        0.364293	        0.603484	         1.10993	
       0.0659136	       0.0435385	        0.672029	        0.978456	
         1.46555	        0.944968	        0.712456	        0.978889	
         2.07494	         1.41307	        0.781427	         0.89028	
     0.000481783	         0.42285	         1.18982	         1.08718	
         2.85939	         1.54671	         1.23527	        0.985365	
         1.56891	        0.849979	        0.970246	        0.900396	
         1.54278	        0.962035	        0.700238	         1.11575	
       0.0051631	       0.0180288	        0.734143	         1.03915	
        0.303288	         1.11952	        0.927198	         0.82388	
        0.389823	        0.277067	        0.492213	        0.950572	
       0.0933712	        0.469261	         1.50582	         1.07559	
         1.00501	        0.982039	           1.106	        0.934046	
         1.53288	        0.804628	         1.27447	         1.01086	
         1.49651	        0.855883	        0.843571	        0.942393	
        0.301671	        0.324147	        0.592261	         0.83343	
         4.17132	         2.13353	         1.30303	        0.957121	
        0.387831	         1.09772	         1.15577	         1.06017	
         1.05786	        0.781321	        0.854632	        0.951738	
        0.446462	        0.675996	         0.62151	        0.848911	
        0.876539	        0.606666	        0.860989	         1.02233	
        0.221408	        0.348264	         1.25369	        0.987157	
         1.19296	        0.672627	        0.481304	         1.10038	
        0.222138	        0.284059	         1.30505	         1.12087	
     0.000611685	      0.00254628	         1.22086	        0.989603	
         1.68882	        0.998155	         1.55691	         0.97627	
        0.240694	        0.404153	         1.25159	         0.89095	
        0.621555	        0.515864	         0.63448	        0.939058	
       0.0819298	       0.0901664	        0.470525	        0.981794	
        0.929952	         1.33587	        0.855855	        0.992027	
         0.19465	         1.67429	        0.872254	        0.932907	
        0.276322	        0.378336	        0.688285	        0.973531	
         3.98467	         2.27107	         0.91787	        0.927407	
         1.03079	         1.38811	        0.797595	         1.14198	
        0.647012	         1.26404	          1.0938	        0.923357	
      0.00694493	       0.0574885	         1.05902	        0.928015	
        0.130895	        0.555828	         1.20672	          1.1154	
         1.07803	         1.00514	        0.940084	        0.942824	
         1.28929	         1.50724	        0.849132	         1.15433	
        0.046689	       0.0634103	        0.571094	        0.930226	
        0.406982	        0.291337	        0.760414	        0.906201	
         1.03137	         1.63964	        0.869093	        0.999264	
         0.86998	        0.602206	        0.653184	        0.946094	
        0.120662	         0.44693	        0.777958	         1.15073	
        0.169839	        0.285791	         1.31953	        0.878592	
         1.98159	         1.48293	        0.969159	        0.974218	
         1.47164	         1.36733	         2.01527	         1.24172	
         1.69798	         1.16984	        0.839471	        0.785342	
         2.03638	         1.54991	         1.09682	         1.06371	
         2.84924	         1.64236	         1.03806	         1.01712	
        0.229244	        0.118784	         1.11323	         1.06366	
        0.492093	         1.71806	        0.881499	         1.03148	
        0.465477	        0.744416	        0.825533	        0.929859	
         0.71044	        0.480667	         0.81305	        0.959415	
        0.228969	         1.37012	        0.890726	         1.05091	
        0.510955	        0.667531	        0.643385	        0.908607	
         1.89516	         1.18893	        0.831893	         1.10826	
        0.305077	        0.768173	         1.17452	         1.07253	
        0.408523	         0.81032	        0.968332	         1.05804	
       0.0196647	         0.15595	        0.846177	        0.956623	
         1.06851	         1.58045	         1.19886	         1.04529	
         1.36154	          1.5027	         1.03312	         1.16713	
        0.380874	        0.900131	        0.647333	        0.880598	
       0.0429717	        0.547205	         1.24916	        0.829434	
        0.237094	         1.06376	         1.07059	         1.07367	
        0.502394	        0.535019	        0.926765	        0.921814	
        0.954223	        0.682235	         1.54402	        0.989435	
          1.0283	         1.00072	        0.563039	          0.9457	
          2.8623	         1.96671	         1.33381	         1.02582	
         5.38091	         3.02419	         1.38508	         1.01298	
        0.436329	        0.878582	        0.911212	        0.915074	
       0.0220785	       0.0271557	        0.768809	         1.04773	
        0.533742	        0.969507	        0.906896	         1.02376	
        0.827966	        0.476458	        0.617418	         0.87662	
       0.0690156	         0.35352	        0.866299	          1.0218	
        0.679761	         1.02638	         1.32465	        0.923893	
        0.332486	        0.388641	        0.588532	        0.896359	
        0.153461	         1.25995	         1.10086	         1.08826	
        0.513272	         1.47514	        0.727036	        0.787803	
        0.686977	        0.508365	        0.829094	         0.96528	
        0.663211	        0.551691	        0.994186	         1.06423	
        0.808361	        0.539944	        0.672799	        0.949225	
        0.434428	        0.256093	         1.13946	         1.03997	
        0.348149	         1.21069	        0.873548	         1.06457	
        0.137762	        0.819637	        0.967885	        0.969783	
        0.523187	         0.46829	        0.686137	         1.16699	
         3.98324	         2.49753	         1.69982	         1.11555	
        0.144621	         1.69447	         1.32575	         1.06051	
        0.944363	        0.579282	        0.763646	        0.928347	
        0.129398	        0.155343	        0.870195	        0.980229	
        0.268661	        0.989321	         0.95171	        0.993489	
        0.391323	        0.924246	        0.676243	          1.0612	
        0.237543	        0.367045	        0.682825	          1.1018	
        0.186167	        0.328564	        0.740841	        0.951958	
        0.956743	         1.18667	        0.791927	         1.02876	
        0.470037	         1.27283	         1.78375	         1.12105	
        0.115199	        0.188371	        0.551091	        0.810798	
        0.539134	        0.508763	          0.8978	         1.01722	
         1.02189	         1.87113	        0.665124	         1.06649	
        0.204796	         2.05161	         1.43958	         1.06031	
         3.48465	         2.17756	          1.5406	         1.12573	
         1.05506	        0.816901	         1.02893	          1.0995	
         1.14455	        0.626781	        0.918468	         1.01395	
        0.719786	        0.696365	         1.13608	        0.849436	
          1.4899	         3.31326	         1.25585	         1.12892	
      0.00987448	        0.745819	        0.749419	         0.95505	
        0.891499	         1.89195	        0.995758	         0.97259	
         2.27404	         1.17896	        0.724096	        0.894133	
         1.35004	         1.42975	         1.00307	        0.932267	
         1.43917	         1.54783	          0.7483	        0.759534	
        0.113162	        0.360314	        0.979549	        0.996803	
        0.216503	        0.697589	         1.02184	        0.961658	
        0.628043	        0.670455	          1.1628	         1.12439	
